,Election,CandidateID,CandidateName,ContributionType,Date,City,State,ZipCode,Amount,PurposeCode,Purpose
3447,2005,605,"Michael,Bloomberg",Corporation,4/25/2005 00:00:00,New York,NY,10014.0,304,Office Expenses,Office Expenses
3448,2005,605,"Michael,Bloomberg",Corporation,4/25/2005 00:00:00,New York,NY,10014.0,607,Office Expenses,Office Expenses
3449,2005,605,"Michael,Bloomberg",Corporation,3/15/2005 00:00:00,New York,NY,10014.0,650,Office Expenses,Office Expenses
3450,2005,605,"Michael,Bloomberg",Corporation,3/15/2005 00:00:00,New York,NY,10014.0,462,Office Expenses,Office Expenses
3451,2005,605,"Michael,Bloomberg",Corporation,3/15/2005 00:00:00,New York,NY,10014.0,230,Office Expenses,Office Expenses
3452,2005,605,"Michael,Bloomberg",Corporation,3/15/2005 00:00:00,New York,NY,10014.0,931,Office Expenses,Office Expenses
3453,2005,605,"Michael,Bloomberg",Corporation,3/15/2005 00:00:00,New York,NY,10014.0,4882,Office Expenses,Office Expenses
3454,2005,605,"Michael,Bloomberg",Corporation,3/15/2005 00:00:00,New York,NY,10014.0,141,Office Expenses,Office Expenses
3455,2005,605,"Michael,Bloomberg",Corporation,3/15/2005 00:00:00,New York,NY,10014.0,318,Office Expenses,Office Expenses
3456,2005,605,"Michael,Bloomberg",Corporation,4/26/2005 00:00:00,New York,NY,10014.0,292,Office Expenses,Office Expenses
3457,2005,605,"Michael,Bloomberg",Corporation,4/26/2005 00:00:00,New York,NY,10014.0,121,Office Expenses,Office Expenses
3458,2005,605,"Michael,Bloomberg",Corporation,4/26/2005 00:00:00,New York,NY,10014.0,405,Office Expenses,Office Expenses
3459,2005,605,"Michael,Bloomberg",Corporation,10/24/2005 00:00:00,New York,NY,10014.0,211,Office Expenses,Office Expenses
3460,2005,605,"Michael,Bloomberg",Corporation,10/19/2005 00:00:00,New York,NY,10014.0,581,Office Expenses,Office Expenses
3461,2005,605,"Michael,Bloomberg",Corporation,10/19/2005 00:00:00,New York,NY,10014.0,1482,Office Expenses,Office Expenses
3462,2005,605,"Michael,Bloomberg",Corporation,10/19/2005 00:00:00,New York,NY,10014.0,904,Office Expenses,Office Expenses
3463,2005,605,"Michael,Bloomberg",Corporation,9/30/2005 00:00:00,New York,NY,10014.0,144,Office Expenses,Office Expenses
3464,2005,605,"Michael,Bloomberg",Corporation,9/30/2005 00:00:00,New York,NY,10014.0,478,Office Expenses,Office Expenses
3465,2005,605,"Michael,Bloomberg",Corporation,9/30/2005 00:00:00,New York,NY,10014.0,311,Office Expenses,Office Expenses
3466,2005,605,"Michael,Bloomberg",Corporation,9/30/2005 00:00:00,New York,NY,10014.0,149,Office Expenses,Office Expenses
3467,2005,605,"Michael,Bloomberg",Corporation,9/30/2005 00:00:00,New York,NY,10014.0,1442,Office Expenses,Office Expenses
3468,2005,605,"Michael,Bloomberg",Corporation,4/11/2005 00:00:00,New York,NY,10014.0,380,Office Expenses,Office Expenses
3469,2005,605,"Michael,Bloomberg",Corporation,4/11/2005 00:00:00,New York,NY,10014.0,465,Office Expenses,Office Expenses
3470,2005,605,"Michael,Bloomberg",Corporation,10/18/2005 00:00:00,New York,NY,10014.0,1031,Office Expenses,Office Expenses
3471,2005,605,"Michael,Bloomberg",Corporation,10/18/2005 00:00:00,New York,NY,10014.0,93,Office Expenses,Office Expenses
3472,2005,605,"Michael,Bloomberg",Corporation,3/24/2005 00:00:00,New York,NY,10014.0,809,Office Expenses,Office Expenses
3473,2005,605,"Michael,Bloomberg",Corporation,11/8/2005 00:00:00,New York,NY,10014.0,284,Office Expenses,Office Expenses
3474,2005,605,"Michael,Bloomberg",Corporation,11/8/2005 00:00:00,New York,NY,10014.0,790,Office Expenses,Office Expenses
3475,2005,605,"Michael,Bloomberg",Corporation,11/8/2005 00:00:00,New York,NY,10014.0,841,Office Expenses,Office Expenses
3476,2005,605,"Michael,Bloomberg",Corporation,11/8/2005 00:00:00,New York,NY,10014.0,2326,Office Expenses,Office Expenses
3477,2005,605,"Michael,Bloomberg",Corporation,11/8/2005 00:00:00,New York,NY,10014.0,346,Office Expenses,Office Expenses
3478,2005,605,"Michael,Bloomberg",Corporation,11/8/2005 00:00:00,New York,NY,10014.0,582,Office Expenses,Office Expenses
3479,2005,605,"Michael,Bloomberg",Corporation,11/8/2005 00:00:00,New York,NY,10014.0,718,Office Expenses,Office Expenses
3480,2005,605,"Michael,Bloomberg",Corporation,11/8/2005 00:00:00,New York,NY,10014.0,4595,Office Expenses,Office Expenses
3481,2005,605,"Michael,Bloomberg",Corporation,11/8/2005 00:00:00,New York,NY,10014.0,420,Office Expenses,Office Expenses
3482,2005,605,"Michael,Bloomberg",Corporation,11/8/2005 00:00:00,New York,NY,10014.0,63,Office Expenses,Office Expenses
3483,2005,605,"Michael,Bloomberg",Corporation,9/20/2005 00:00:00,New York,NY,10014.0,1214,Office Expenses,Office Expenses
3484,2005,605,"Michael,Bloomberg",Corporation,9/20/2005 00:00:00,New York,NY,10014.0,304,Office Expenses,Office Expenses
3485,2005,605,"Michael,Bloomberg",Corporation,9/20/2005 00:00:00,New York,NY,10014.0,756,Office Expenses,Office Expenses
3486,2005,605,"Michael,Bloomberg",Corporation,9/20/2005 00:00:00,New York,NY,10014.0,304,Office Expenses,Office Expenses
3487,2005,605,"Michael,Bloomberg",Corporation,9/20/2005 00:00:00,New York,NY,10014.0,69,Office Expenses,Office Expenses
