Election,CandidateID,CandidateName,ContributionType,City,State,ZipCode,Amount,PurposeCode,Purpose
2013,204,"Christine,Quinn",Corporation,Dallas,TX,75235,219.9,Other,Other: explntion
2013,204,"Christine,Quinn",Corporation,Dallas,TX,75235,-219.9,,
2013,326,"Bill,de Blasio",Corporation,,,,119.7,Fundraising,Fundraising
2013,326,"Bill,de Blasio",Corporation,,,,109.7,Fundraising,Fundraising
2013,,"Anthony,Weiner",Individual,,,,325,Campaign Consultants,Campgn Consuls.
2013,,"Anthony,Weiner",Individual,,,,525,Campaign Consultants,Campgn Consuls.
2013,,"Anthony,Weiner",Individual,,,,464,Campaign Consultants,Campgn Consuls.
2013,,"John,Liu",Corporation,New York,NY,10019,1500,Radio Ads,Radio Ads.
2013,,"John,Liu",Corporation,New York,NY,10019,2450,Radio Ads,Radio Ads.
2013,,"John,Liu",Corporation,New York,NY,10019,2000,Radio Ads,Radio Ads.
2013,1796,"Jack,Hidary",Corporation,San Francisco,CA,94105,6000,Professional Services,Prof. Srvcs.
2013,1690,"Joseph,Lhota",Corporation,,,,32.65,Other,Other: explntion
2013,,"Anthony,Weiner",Other,,,,125,Other,Other: explntion
2013,,"Anthony,Weiner",Corporation,New York,NY,10017,1393.6,Office Expenses,Office Expenses
